html文件,股东全称,股东简称,变动截止日期,变动价格,变动数量,变动后持股数,变动后持股比例
1104728.html,深圳市达晨财信创业投资管理有限公司,达晨财信,2013-09-10,12.15,1000000,,
1104728.html,深圳市达晨财信创业投资管理有限公司,达晨财信,2013-09-11,12.99,290000,,
1104728.html,深圳市达晨财信创业投资管理有限公司,达晨财信,2013-09-12,12.43,220000,,
1104728.html,深圳市达晨财信创业投资管理有限公司,达晨财信,2013-09-12,11.77,3300000,,
1107194.html,中国电能成套设备有限公司,成套公司,2013-08-28,,32000,916646315,0.4284
1109123.html,澳洋集团有限公司,澳洋集团,2011-12-29,4.64,18160000,162740000,0.4461
1109294.html,上海市糖业烟酒（集团）有限公司,糖酒集团,2011-12-29,,2386848,147343436,0.3359
1113250.html,中国-比利时直接股权投资基金,,2011-10-18,17.86,141756,,
1113250.html,中国-比利时直接股权投资基金,,2011-10-24,15.93,250000,,
1113250.html,中国-比利时直接股权投资基金,,2011-10-25,17.08,200000,,
1113250.html,中国-比利时直接股权投资基金,,2011-10-31,19.25,400000,,
1113250.html,中国-比利时直接股权投资基金,,2011-11-02,19.25,300000,,
1113250.html,中国-比利时直接股权投资基金,,2011-11-11,19.24,200000,,
1113250.html,中国-比利时直接股权投资基金,,2011-11-14,19.90,400000,,
1113250.html,中国-比利时直接股权投资基金,,2011-11-21,18.15,300000,,
1113250.html,中国-比利时直接股权投资基金,,2011-12-19,15.93,300000,,
1113255.html,佛山市南海伊林实业投资有限公司,伊林公司,2011-11-25,8.45,4000000,,
1113255.html,佛山市南海伊林实业投资有限公司,伊林公司,2011-11-29,8.53,1000000,,
1113255.html,佛山市南海伊林实业投资有限公司,伊林公司,2011-12-06,6.67,450000,,
1113255.html,佛山市南海伊林实业投资有限公司,伊林公司,2011-12-07,6.62,460000,,
1113255.html,佛山市南海伊林实业投资有限公司,伊林公司,2011-12-12,6.44,800000,,
1113255.html,佛山市南海伊林实业投资有限公司,伊林公司,2011-12-20,5.77,963000,,
1113270.html,厦门三微创业投资有限公司,,2011-12-20,24.19,500000,,
1113374.html,中国国电集团公司,国电集团,2012-12-18,,988419,,
1115404.html,厦门三微创业投资有限公司,,2011-12-13,24.48,688800,,
1117696.html,中国西电集团公司,西电集团,2012-11-06,,44674753,2577294753,0.5915
1124313.html,新疆商络股权投资有限责任公司,新疆商络,2011.6月,31.13,520000,,
1124313.html,新疆商络股权投资有限责任公司,新疆商络,2011.7月,32.10,453000,,
1124313.html,新疆商络股权投资有限责任公司,新疆商络,2011.8月,28.65,120000,,
1124313.html,新疆商络股权投资有限责任公司,新疆商络,2011.9月,37.33,285000,,
1124313.html,新疆商络股权投资有限责任公司,新疆商络,2011.10月,23.53,2095000,,
1124313.html,新疆商络股权投资有限责任公司,新疆商络,2011.10月,23.76,1177000,23822467,0.0496
1124403.html,苏州国发创新资本投资有限公司,苏州国发,2011-11-23,25.73,235520,,
1125715.html,浙江鑫华丰盈创业投资有限公司,鑫华丰盈,2012-11-20,8.02—9.15,772067,3243283,0.028
1125715.html,浙江蓝石创业投资有限公司,蓝石创投,2012-11-20,8.07—9.13,374067,,
1125715.html,宗佩民,,2012-11-20,8.24—8.94,164350,,
1126021.html,慧盛创业,,2011-05-26,25.50,2283367,,
1126021.html,慧盛创业,,2011-11-15,19.15,2010060,,
1126699.html,深圳广聚投资控股有限公司,广聚控股,2010-11-10,,6029300,106568300,0.1768
1127783.html,中兴通讯,,2011-11-04,24.08,50000,,
1127783.html,中兴通讯,,2011-11-04,23.59,5000000,,
1132699.html,青岛海尔创业投资咨询有限公司,海尔创投,2009-05-21,,300000,268152691,0.2003
1132850.html,中泰信托投资有限公司,中泰信托,2009-05-18,,2817300,37683685,0.2557
113579.html,新东北电气投资有限公司,新东投,2010-11-01,5.18,778500,,
113579.html,新东北电气投资有限公司,新东投,2010-11-08,5.31,1152300,,
113579.html,新东北电气投资有限公司,新东投,2015-03-20,5.78,500000,,
113579.html,新东北电气投资有限公司,新东投,2015-03-20,5.78,1500000,,
113579.html,新东北电气投资有限公司,新东投,2015-03-20,5.78,1500000,,
113579.html,新东北电气投资有限公司,新东投,2015-03-20,5.81,1500000,,
113579.html,新东北电气投资有限公司,新东投,2015-03-27,6.01,35000000,170113872,19.478
1135931.html,天富集团,,2013-02-19,,240000,308154542,0.47
1136397.html,栖霞集团,,2013-06-20,,1950000,,
1136397.html,栖霞集团,,2013-07-03,,8937305,,
1136705.html,林芝地区荣光科技有限公司,,2013-05-09,14.59,8720500,,
1136705.html,陈利浩,,2013-05-07,15.51,20000,,
1137387.html,莱英达集团,,2013-04-22,8.662,950000,,
1137387.html,莱英达集团,,2013-04-24,8.977,1925000,,
1137387.html,莱英达集团,,2013-04-25,8.364,488751,,
1137387.html,莱英达集团,,2013-05-07,7.752,2426249,,
1137387.html,莱英达集团,,2013-05-08,7.728,2495000,,
1137387.html,莱英达集团,,2013-05-09,7.546,795000,,
1137387.html,莱英达集团,,2013-06-05,7.526,2920000,,
1137387.html,莱英达集团,,2013-06-06,7.469,1025200,,
1137437.html,北方联合电力有限责任公司,北方公司,2013-05-16,,1280000,,
1137848.html,四川沱牌舍得集团有限公司,沱牌舍得集团,2013-06-27,14.99,1200000,,
1137848.html,四川沱牌舍得集团有限公司,沱牌舍得集团,2013-06-28,14.75,5546000,100695768,
1137934.html,大象创业投资有限公司,大象投资,2013-03-18,,3186170,16915960,0.0602
1138227.html,福建省能源集团有限责任公司,能源集团,2013-05-17,7.90,4228800,933579000000,0.2397
1138761.html,厦门象屿集团有限公司,象屿集团,2012-12-04,,997253,,
1140496.html,北京湘鄂情股份集团有限公司,湘鄂情,2013/6/5,9.04,3950000,26470000,
1140760.html,安徽出版集团有限责任公司,安徽出版集团,2011-05-13,,1273900,,
1140760.html,安徽出版集团有限责任公司,安徽出版集团,2012-01-20,,4799565,,
1141110.html,北京首冶新元科技发展有限公司,首冶新元,2012-06-01,24.43,167000,,
1141110.html,北京首冶新元科技发展有限公司,首冶新元,2012-09-07,12.15,219400,,
1141110.html,北京首冶新元科技发展有限公司,首冶新元,2012-09-05,9.48,600000,,
1142820.html,惠州市德赛工业发展有限公司,德赛工业,2012-05-18,,1915600,,
1143067.html,重庆东银实业（集团）有限公司,东银集团,2011-01-25,,50000,,
1143067.html,重庆东银实业（集团）有限公司,东银集团,2011-08-17,,8946523,254012923,0.3528
1143329.html,敦化市东易投资有限公司,,2011-11-28,12.87,1500000,,
1146256.html,青岛海信电子产业控股股份有限公司,海信电子控股,2010-06-07,,3679012,358451715,0.4136
1147055.html,新疆易通光股权投资合伙企业（有限合伙）,易通光,2013/5/23,18.43,1000000,,
1147055.html,新疆易通光股权投资合伙企业（有限合伙）,易通光,2013/5/24,18.13,3000000,,
1147055.html,新疆易通光股权投资合伙企业（有限合伙）,易通光,2013/5/27,18.09,1000000,,
1147055.html,新疆易通光股权投资合伙企业（有限合伙）,易通光,2013/5/29,17.04,1000000,,
1147055.html,新疆易通光股权投资合伙企业（有限合伙）,易通光,2013/5/30,17.08,3000000,,
1147055.html,新疆易通光股权投资合伙企业（有限合伙）,易通光,2013/6/3,16.65,2000000,,
1147055.html,新疆易通光股权投资合伙企业（有限合伙）,易通光,2013/6/17,16.07,2000000,18900000,0.0593
1147466.html,深圳市长飞投资有限公司,长飞投资,2013-06-14,13.66,10850000,,
1147936.html,山煤集团全资子公司山煤投资集团有限公司,山煤投资,2013-06-13,,1132200,569266215,0.5743
1148622.html,福建国力民生科技投资有限公司,国力民生,2012-07-04,5.68,2085100,,
1148622.html,福建国力民生科技投资有限公司,国力民生,2012-07-09,5.63,691800,,
1148622.html,福建国力民生科技投资有限公司,国力民生,2012-07-18,5.00,12000000,,
1149014.html,莞勤上集团有限公司,勤上集团,2012-12-12,9.15,620572,,
1152310.html,安徽中鼎控股(集团)股份有限公司,中鼎集团,2010-11-25,,安徽中鼎控股(集团)股份有限公司,,
1153209.html,武汉凯迪电力股份有限公司,凯迪电力,2012-03-13,,24803198,,
1154153.html,海信科龙电器股份有限公司,,2010-07-27,,海信科龙电器股份有限公司,,
1156309.html,吉林石岘纸业有限责任公司,石纸有限,2010-05-24,,5000000,,
1156391.html,东莞市广能商贸有限公司,广能商贸,2013-05-27,6.27元,6000000,,
1156391.html,东莞市广能商贸有限公司,广能商贸,2013-05-27,6.27元,4000000,2688000,0.0134
1157945.html,广州东凌实业集团有限公司,东凌实业,2012-11-27,,2263447,,
1157945.html,广州东凌实业集团有限公司,东凌实业,2012-11-29,,11700,,
1161570.html,香港新科创力有限公司,新科创力,10月14日,,1500000,,
1161570.html,香港新科创力有限公司,新科创力,2009-08-05,,199332,14074906,0.1614
1161821.html,山东聊城鲁西化工集团有限责任公司,鲁化集团,2012-10-16,,980000,,
1163844.html,大象创业投资有限公司,大象投资,2013-05-10,,3163700,13752260,0.049
1163853.html,上海鹏欣建筑安装工程有限公司,上海鹏欣,2011-05-03,14.60,3300000,,
1163853.html,上海鹏欣建筑安装工程有限公司,上海鹏欣,2011-05-17,14.60,5100000,,
1163853.html,上海鹏欣建筑安装工程有限公司,上海鹏欣,2011-09-21,12.30,9950000,,
1163853.html,上海鹏欣建筑安装工程有限公司,上海鹏欣,2011-09-22,12.30,6000000,55566252,4.29
1163994.html,广州市有达投资有限公司,有达投资,2012-06-15,9.12,6200000,,
1164910.html,青岛海尔创业投资咨询有限公司,海尔创投,2009-05-21,,300000,596677821,0.4458
1166115.html,正泰集团股份有限公司,正泰集团,2013-05-07,20.24,400000,,
1166115.html,正泰集团股份有限公司,正泰集团,2013-05-08,20.73,80001,657000000,0.6537
1166875.html,深圳力合创业投资有限公司,力合创投,2008-05-16,,1372000,,
1166875.html,深圳力合创业投资有限公司,力合创投,2009-06-22,,3102374,35514233,0.103
1166896.html,海通证券股份有限公司,海通证券,2011-08-29,20.50-20.63,海通证券股份有限公司,,
1166896.html,海通证券股份有限公司,海通证券,2011-12-21,11.17-11.70,海通证券股份有限公司,,
1169312.html,深圳市投资控股有限公司,投控公司,2009-05-19,,1831900,,
1169312.html,深圳市投资控股有限公司,投控公司,2009-06-19,,789200,146100600,0.596
1172251.html,大象创业投资有限公司,大象投资,2011-05-03,,3076840,23184960,0.0826
1172746.html,建银国际资产管理有限公司,,2012-01-12,7.37,183696,,
1172746.html,建银国际资产管理有限公司,,2012-01-10,7.13,74972,,
1172746.html,建银国际资产管理有限公司,,2012-01-09,6.84,331100,,
1172746.html,建银国际资产管理有限公司,,2012-01-06,6.57,290709,,
1172746.html,建银国际资产管理有限公司,,2012-01-05,6.90,5000,,
1172746.html,建银国际资产管理有限公司,,2011-12-16,8.60,70000,,
1172746.html,建银国际资产管理有限公司,,2011-12-14,8.90,7519,,
1172746.html,建银国际资产管理有限公司,,2011-12-13,8.83,70000,,
1172746.html,建银国际资产管理有限公司,,2011-12-09,10.03,100000,,
1172746.html,建银国际资产管理有限公司,,2011-12-08,10.24,60000,,
1172746.html,建银国际资产管理有限公司,,2011-12-07,10.07,80000,,
1172746.html,建银国际资产管理有限公司,,2011-12-06,10.08,201700,,
1172746.html,建银国际资产管理有限公司,,2011-12-02,11.94,40000,,
1172746.html,建银国际资产管理有限公司,,2011-12-01,11.91,200000,,
1172746.html,建银国际资产管理有限公司,,2011-11-30,11.17,183100,,
1172746.html,建银国际资产管理有限公司,,2011-11-29,10.53,20000,,
1172746.html,建银国际资产管理有限公司,,2011-11-28,10.62,6600,,
1172746.html,建银国际资产管理有限公司,,2011-11-25,10.72,100000,,
1172746.html,建银国际资产管理有限公司,,2011-11-24,10.79,89800,,
1172746.html,建银国际资产管理有限公司,,2011-11-23,11.04,7200,11752900,0.0541
1173086.html,中兴通讯,,2011-06-22,24.75,4000000,,
1175196.html,洋浦高盛汇邦投资有限公司（以下简称“汇邦投资”）,,2009-09-03,,6000000,,
1175196.html,洋浦高盛汇邦投资有限公司（以下简称“汇邦投资”）,,2009-09-18,,5200000,,
1175433.html,武汉凯迪控股投资有限公司,凯迪控股,2011-06-10,20.08,17390000,,
1176805.html,大象创业投资有限公司,大象投资,2012-07-12,,3082830,20102130,0.0716
1180210.html,深圳新世界翔龙网络技术有限公司,新世界翔龙,2010-01-26,7.62-7.78,744435,,
1180210.html,深圳新世界翔龙网络技术有限公司,新世界翔龙,2010-01-27,7.62-7.68,163163,,
1180210.html,深圳新世界翔龙网络技术有限公司,新世界翔龙,2010-01-28,7.62-8.21,5736032,,
1183067.html,浙江蓝石创业投资有限公司,浙江蓝石,2013-04-22,9.14,1284439,7523400,0.0478
1183764.html,辽宁省粮油食品边贸公司,辽宁边贸,2010-12-22,27.80,2600000,,
1183764.html,辽宁省粮油食品边贸公司,辽宁边贸,2010-12-24,24.25,2600000,,
1183764.html,辽宁省粮油食品边贸公司,辽宁边贸,2011-08-25,20.84,2100000,8460000,0.0576
1184604.html,华翘国际有限公司,华翘国际,2012-07-11,25.52,3500000,9500000,7.77
1189474.html,金石投资有限公司,：“金石投资,2011-03-31,,4286363,19713637,0.0434
1190639.html,深圳市富海银涛创业投资有限公司,富海银涛,2012-02-27,21.12,1500000,,
1190639.html,深圳市富海银涛创业投资有限公司,富海银涛,2012-02-28,20.33,1500000,,
1190639.html,深圳市富海银涛创业投资有限公司,富海银涛,2012-02-29,20.05,1500000,,
1190639.html,深圳市富海银涛创业投资有限公司,富海银涛,2012-03-01,19.54,1630000,,
1191332.html,苏州吴中国发创业投资有限公司,,2012-02-27,17.675,1287286,,
1191332.html,苏州吴中国发创业投资有限公司,,2012-04-05,18.852,61714,,
1191332.html,苏州吴中国发创业投资有限公司,,2012-04-16,18.08,2500000,5151000,0.0363
119278.html,诚威国际投资有限公司,诚威国际,10月31日,17.19,168320,,
119278.html,诚威国际投资有限公司,诚威国际,11月30日,16.39,12700,,
119278.html,诚威国际投资有限公司,诚威国际,12月31日,16.44,4000,,
1193470.html,新疆中科福泉股权投资有限合伙企业,福泉投资,2012-03-07,13.17,2580000,,
1193470.html,新疆中科福泉股权投资有限合伙企业,福泉投资,2012-03-08,13.34,2520000,,
1193470.html,新疆中科福泉股权投资有限合伙企业,福泉投资,2012-03-09,13.44,1560000,,
1197115.html,广东粤文投资有限公司,,2012-03-06,5.86,3970800,33738782,4.99
1197349.html,利德科技发展有限公司,利德科技,2013-04-15,6.50,2174261,,
1197349.html,利德科技发展有限公司,利德科技,2013-04-17,,28174261,301791148,0.0495
12000578.html,青岛城投金融控股集团有限公司编制,城投金控,2016-03-10,13.63,11565900,,
12000578.html,青岛城投金融控股集团有限公司编制,城投金控,2016-03-18,13.59,11080300,,
12000578.html,青岛城投金融控股集团有限公司编制,城投金控,2016-03-25,14.67,9361030,,
12000578.html,青岛城投金融控股集团有限公司编制,城投金控,2016-07-29,13.19,3089525,,
1202253.html,利德科技发展有限公司,利德科技,2013-04-11,,67766186,,
12024896.html,持股的基本情况：截止龙口南山投资有限公司,南山投资,2016-08-08,27.26,500000,,
12024896.html,持股的基本情况：截止龙口南山投资有限公司,南山投资,2016-08-09,27.87,1000000,8499997,0.0708
12028149.html,张轩松,,2015-09-28,5.045,6141230,,
12028149.html,上海证券交所,,2016-08-08,4.15,96485528,,
12031715.html,广州科技金融创新投资控股有限公司,科金控股,2016-06-27,31.44,100000,,
12031715.html,广州科技金融创新投资控股有限公司,科金控股,2016-07-14,34.08,937784,,
12031715.html,广州科技金融创新投资控股有限公司,科金控股,2016-07-20,35.18,420003,,
12032550.html,龙口南山投资有限公司,南山投资,2016-08-08,27.26,500000,,
12032550.html,龙口南山投资有限公司,南山投资,2016-08-09,27.87,1000000,,
12032550.html,龙口南山投资有限公司,南山投资,2016-08-10,28.44,999900,7500097,0.0625
12046708.html,宁波裕人投资有限公司的,裕人投资,2016-08-15,12.80,2900000,248235016,0.3095
12051096.html,荣盛控股股份有限公司,荣盛控股,2016-08-12,7.33,12499948,,
12057522.html,百灏投资,,2016-06-08,15.13,3200000,32085834,0.0498
1208652.html,青岛市企业发展投资有限公司,企发投,2009-05-20,,1639700,10000000,
1209603.html,怡万实业发展（深圳）有限公司,怡万,2009-02-11,,4597800,62542800,0.0506
1209603.html,新通产实业开发（深圳）有限公司,,2009-02-11,,10547100,,
1209907.html,珠海市兆宏盛世实业股份有限公司,兆宏盛世,2009-07-01,9.456,2925000,,
1211066.html,金世旗控股股份有限公司,金世旗控股,11月30日,,2209318,,
1217487.html,上海锦江国际酒店(集团)股份有限公司,上海锦江,2012-10-19,5.22,上海锦江国际酒店(集团)股份有限公司,,
1217487.html,上海锦江国际酒店(集团)股份有限公司,上海锦江,2012-06-12,5.14,上海锦江国际酒店(集团)股份有限公司,,
1217946.html,山田林业开发（福建）有限公司,山田林业,2011-11-07,6.00,6680000,,
1217946.html,许志红,,10月31日,6.22-7.40,2389250,,
1218007.html,斯米克工业有限公司,斯米克工业,2011-01-14,12.13,1456100,,
1218007.html,太平洋数码有限公司,太平洋数码,2011-01-13,12.49,3900000,,
1218097.html,佛山市南海伊林实业投资有限公司,伊林公司,2011-12-26,5.43,3000100,,
1218097.html,佛山市南海伊林实业投资有限公司,伊林公司,2012-06-07,5.46,4532900,,
1218097.html,佛山市南海伊拓投资有限公司,伊拓公司,2011-12-02,7.58,400000,,
1218097.html,佛山市南海伊拓投资有限公司,伊拓公司,2011-12-16,5.82,4000000,,
1218097.html,佛山市南海伊拓投资有限公司,伊拓公司,2011-12-19,5.85,1741900,,
1218097.html,佛山市南海伊拓投资有限公司,伊拓公司,2012-06-07,5.46,1650000,,
1218728.html,亚厦控股有限公司,亚厦控股,2012-11-28,21.12,300000,,
1218728.html,亚厦控股有限公司,亚厦控股,2013-03-28,,300000,228000000,8.08
1220766.html,深圳市益峰源实业有限公司,,2011-08-17,,347677,59943100,0.1587
122199.html,蝶彩资产管理（上海）有限公司,蝶彩资本,2015-04-01,,1860000,,
